,name,bullet_rating,bullet_games,blitz_rating,blitz_games,rapid_rating,rapid_games,classical_rating,classical_games,puzzle_rating,puzzle_games
0,saneks83,1213,12,1527,7817,1336,1336,1638,14,1381,1381
1,PasuquinBoy,1910,21061,2043,3508,2136,2136,1466,2,1470,1470
2,steven_ego,2013,9692,1946,274,1830,1830,1389,22,2008,2008
3,UncleChesse,1423,1316,1486,34,1758,1758,1630,2,1713,1713
4,AlexisLalas,2400,14308,2558,7986,1500,1500,1500,0,2305,2305
5,Leonator31,1171,678,1384,570,1749,1749,1321,1,1587,1587
6,educaiua,1819,33220,1103,852,1659,1659,1288,1,1468,1468
7,EliasDerRenner,1173,2709,1381,807,1744,1744,1217,3,1362,1362
8,Heribertomex,1895,8923,2046,4044,2283,2283,2039,32,2081,2081
9,LuffyChess8,1939,9609,1919,4190,2026,2026,1685,7,1732,1732
10,Gromanial,2370,32926,2327,1076,1942,1942,1500,0,2202,2202
11,SirEarn,1620,10918,1558,1284,1719,1719,1712,2,1953,1953
12,onesimoximenes,1593,36988,1873,1207,1756,1756,1520,2,1960,1960
13,germster,1532,1611,1771,1608,1500,1500,1500,0,1324,1324
14,lapsuslinguae,736,2744,839,4,1162,1162,1500,0,1568,1568
15,canny13,1700,3577,1869,3201,2074,2074,1857,179,2168,2168
16,vladenir,1477,23864,1857,5019,2014,2014,1971,70,2311,2311
17,charlyx_1222,1230,1584,1235,48,1441,1441,1500,0,1414,1414
18,PLAGUE2020,2052,3722,1954,1919,2179,2179,2033,28,2239,2239
19,denissonnenschein,1804,15468,1987,10211,2072,2072,1500,0,1470,1470
20,brokercl,1314,32614,1556,11336,1758,1758,1500,0,1875,1875
21,ARCANGEL29,1812,7587,1911,6900,1956,1956,1816,2,1840,1840
22,rondevinola,1463,16932,1890,6465,1991,1991,1646,1,1974,1974
23,delewar7,1674,4856,1893,2261,1911,1911,1589,6,1908,1908
24,chmnm,1771,10424,1949,551,2117,2117,1500,0,1846,1846
25,mangimblude,1921,12277,1901,3661,2131,2131,2017,24,2057,2057
26,luna_insanity,1500,0,1803,9442,1871,1871,1788,285,1769,1769
27,Boykamotes,1461,364,1866,981,1961,1961,1500,0,1552,1552
28,azeeeee,1004,15,1397,40,1522,1522,1343,115,1832,1832
29,WhiteTiger1990,1500,0,1149,1590,1602,1602,1612,38,1877,1877
30,Lord_Benjamin,1256,9,1102,1156,1185,1185,1500,0,1370,1370
31,ChessSuperKing,1082,176,1378,6026,1480,1480,1760,3,1525,1525
32,TisnaRamlan_BKD,1600,2615,1945,19079,2121,2121,1500,0,1949,1949
33,Habanaclub_2020,1637,45,1816,17060,1867,1867,1396,1,1748,1748
34,winstonsmithreturns,1930,34938,1901,8905,2020,2020,1829,631,2185,2185
35,Coelholov,1750,7523,1876,431,1240,1240,1500,0,1436,1436
36,RichardPerez,1449,1005,1716,4895,1659,1659,1500,0,1423,1423
37,Magnus_101_yes,1703,15503,1845,7050,1182,1182,1812,9,1856,1856
38,tihiro007,2172,3437,2148,2728,2312,2312,2064,21,2021,2021
39,Trohan,1349,894,1221,88,1220,1220,1500,0,1238,1238
40,BackRankBasher,2091,4049,2061,4483,1821,1821,1500,0,2040,2040
41,Rolo3,1193,15532,1616,886,1500,1500,1342,1,1742,1742
42,otychess,2280,74975,2446,4877,1500,1500,1255,1,2275,2275
43,arjunthapa11,1218,1648,1500,0,1500,1500,1500,0,1336,1336
44,ConscienceChess,2172,1356,2147,296,1966,1966,1500,0,2334,2334
45,yasarozn,983,73,1353,68,1229,1229,1500,0,1552,1552
46,Ashutosian,980,10273,1598,786,1777,1777,1723,807,2133,2133
47,motoro,1817,6915,1926,2773,2122,2122,1797,1,2090,2090
48,Adan1,1474,15055,1603,246,1955,1955,1407,6,1677,1677
49,miguel45i,2075,4410,2110,1188,2315,2315,1563,6,2418,2418
50,Sangarchez,2052,10889,2050,1029,2105,2105,1500,0,1422,1422
51,KosmoK,1934,1914,1900,817,1851,1851,1500,0,2416,2416
52,suppari,1222,3280,1209,115,1488,1488,1500,0,1337,1337
53,MJRS_BC,1913,81,2175,5061,1500,1500,1500,0,2132,2132
54,agusdd,1882,4168,2078,13130,2020,2020,1337,6,1680,1680
55,kingman21,1246,2,1358,5059,1337,1337,1500,0,1792,1792
56,oscarformosa,1917,3197,2046,29873,2155,2155,2018,14,2077,2077
57,carvaflu,2002,6516,2054,28314,2020,2020,2032,38,1778,1778
58,Jesus33,2020,9094,2101,29706,2244,2244,1959,68,2021,2021
59,emrislek,1130,1,1086,916,1312,1312,1161,6,1080,1080
60,Vasiliy822,1639,2,1447,635,1511,1511,1482,127,1590,1590
61,muthukumarit,1021,72,1007,13,1266,1266,1146,30,1380,1380
62,anniebu,930,4,1016,131,1353,1353,1446,19,1259,1259
63,JefePollo,1294,957,1516,517,1521,1521,1675,3,1838,1838
64,udon-12,1300,236,1383,40,1258,1258,1848,1,603,603
65,suhj,1610,2,1194,2305,1196,1196,1500,0,1392,1392
66,LuisYoel,1552,6,1603,1330,1761,1761,1500,0,1614,1614
67,Tolo72,1452,7,1687,3796,1908,1908,1500,0,1869,1869
68,Jhona9201,1174,4364,1309,345,1556,1556,1500,0,1765,1765
69,LUCER14,1426,1004,1599,5436,1517,1517,1646,25,1248,1248
70,jsam356,836,190,982,657,998,998,1156,15,1787,1787
71,Tsyganov_d,1500,0,1226,358,1500,1500,1500,0,1641,1641
72,equii,1503,2618,1575,88,1876,1876,1500,0,1833,1833
73,IranSilva,1671,711,2041,8152,2187,2187,2009,123,2342,2342
74,Ryu456,1877,1717,1958,17171,2157,2157,1278,1,2067,2067
75,trizuliano,2035,1047,2256,9375,2226,2226,1500,0,2700,2700
76,Fegatelo78,2143,6328,2249,15211,2298,2298,1150,2,2098,2098
77,Renehp,2345,17514,2393,11211,2243,2243,1500,0,2374,2374
78,Alexeyvetvrac,1761,1573,1804,10386,1922,1922,1358,2,2087,2087
79,CasiMuybueno,2485,993,2494,2344,2404,2404,2172,33,2597,2597
80,Kazakg_Fighter,2589,8969,2460,5985,2253,2253,2159,14,2318,2318
81,karindenzelllacta,860,195,870,100,1044,1044,1050,33,894,894
82,Edvard7171,1099,2,1499,420,1740,1740,1837,1266,1853,1853
83,sillypants123,1813,2142,1531,444,1710,1710,1485,71,2076,2076
84,KnightLegend,2000,764,2031,4367,2022,2022,1904,302,2108,2108
85,drawsfromwins,1760,9,1933,998,2074,2074,1986,299,2318,2318
86,Mido-Fedo,1831,8119,2045,2937,2067,2067,2045,594,2128,2128
87,Amrullahm,1543,371,2040,25375,2182,2182,1998,1053,2053,2053
88,jae302007,1668,755,1719,765,1823,1823,1817,59,2424,2424
89,GenanX,1706,709,2032,14537,1948,1948,1892,20,2092,2092
90,souusa,2030,34999,2023,13504,2135,2135,1991,639,2153,2153
91,Paleoproterozoico,2231,6446,2155,6641,1758,1758,1500,0,2215,2215
92,Zooad,1940,22745,1949,4776,1757,1757,1500,0,1737,1737
